start_location_x,start_location_y,cluster_label
121.485,31.334,5
121.429,31.206,0
121.498,31.26,2
121.383,31.247,3
121.475,31.24,1
121.512,31.276,2
121.309,31.208,3
121.452,31.312,5
121.44,31.22,0
121.507,31.329,5
121.443,31.215,1
121.488,31.217,1
121.501,31.308,2
121.456,31.184,1
121.411,31.127,4
121.384,31.166,4
121.502,31.286,2
121.423,31.32,5
121.487,31.233,1
121.506,31.268,2
121.404,31.241,0
121.663,31.231,2
121.472,31.201,1
121.468,31.252,0
121.457,31.31,5
121.502,31.171,1
121.439,31.245,0
121.406,31.103,4
121.437,31.262,0
121.326,31.132,4
121.53,31.328,2
121.449,31.307,5
121.438,31.235,0
121.514,31.303,2
121.544,31.292,2
121.417,31.188,4
121.44,31.205,1
121.405,31.283,0
121.476,31.19,1
121.49,31.231,1
121.542,31.311,2
121.49,31.318,5
121.474,31.215,1
121.54,31.324,2
121.482,31.336,5
121.449,31.231,0
121.422,31.276,0
121.375,31.213,3
121.471,31.32,5
121.317,31.246,3
121.292,31.209,3
121.426,31.134,4
